,name,lat,lng,true_snow,acres,vert,summit,lifts,score
0,Marble Mountain Resort,48.93666667,-57.82722222,200 in,225 acres,"1,758 ft","1,791 ft",4,41.2
1,Marmot Basin,52.79858838,-118.1007824,160 in,"1,675 acres","3,000 ft","8,570 ft",7,51.2
2,Nakiska Ski Resort,50.94777377,-115.17152560000001,99 in,"1,021 acres","2,412 ft","7,415 ft",6,46.5
3,Sunshine Village,51.08611777,-115.77390459999998,257 in,"3,358 acres","3,514 ft","8,954 ft",12,72.6
4,Silver Summit,53.89321218,-116.56785959999999,100 in,640 acres,976 ft,"4,750 ft",3,31.6
5,Castle Mountain Resort,49.31535518,-114.42647099999999,269 in,"1,400 acres","2,833 ft","7,463 ft",6,66.9
6,Mount Washington Alpine Resort,49.74738588,-125.2994733,393 in,"1,600 acres","1,658 ft","5,216 ft",9,63.6
7,Fernie Alpine Resort,49.45735413,-115.1019795,373 in,"2,504 acres","3,550 ft","7,050 ft",10,79.2
8,Revelstoke,50.96158528,-118.12560900000001,359 in,"3,031 acres","5,620 ft","7,300 ft",4,84.4
9,Sun Peaks Resort,50.88509127,-119.8859713,205 in,"3,678 acres","2,894 ft","7,060 ft",12,57.2
10,Hudson Bay Mountain,54.77128618,-127.26184840000002,200 in,300 acres,"1,750 ft","5,413 ft",4,46.6
11,Kimberley Alpine Resort,49.68706692,-116.0096169,150 in,"1,800 acres","2,465 ft","6,500 ft",5,44.5
12,Kicking Horse Resort,51.28643108,-117.06663859999999,253 in,"2,800 acres","4,133 ft","8,033 ft",6,68.3
13,Red Mountain Resort,49.10144827,-117.8412428,273 in,"1,686 acres","2,912 ft","6,800 ft",6,72.5
14,Mount Seymour,49.37170338,-122.9447314,350 in,200 acres,"1,083 ft","4,150 ft",5,51.4
15,Silver Star Mountain Resort,50.37452601,-119.0475642,223 in,"3,065 acres","2,500 ft","6,280 ft",12,59.6
16,Powder King Mountain Resort,55.36399067,-122.6108551,492 in,925 acres,"2,500 ft","5,500 ft",3,74.1
17,Panorama Mountain Village,50.44241786,-116.2245998,188 in,"2,847 acres","4,000 ft","7,875 ft",9,60.9
18,Apex Mountain Resort,49.39103287,-119.904356,228 in,"1,112 acres","2,000 ft","7,187 ft",4,56.6
19,Cypress Mountain,49.39641903,-123.20170630000001,350 in,"1,482 acres","2,010 ft","5,000 ft",8,63.8
20,Crystal Mountain Resort,49.88202624,-119.71166609999999,410 in,"2,600 acres","2,472 ft","6,872 ft",11,78.2
21,Crystal Mountain Resort,46.9363158,-121.4742851,410 in,"2,600 acres","2,472 ft","6,872 ft",11,78.2
22,Harper Mountain,50.7230902,-120.1397896,156 in,400 acres,"1,400 ft","5,000 ft",3,39.0
23,Hemlock Resort,49.37941125,-121.93450929999999,180 in,300 acres,"1,300 ft","4,500 ft",4,37.4
24,Big White Ski Resort,49.73235167,-118.9417492,279 in,"2,765 acres","2,550 ft","7,606 ft",16,66.2
25,Grouse Mountain,49.38002592,-123.08103559999999,350 in,212 acres,"1,210 ft","4,100 ft",5,57.4
26,Whitewater,49.44120964,-117.15488529999999,393 in,"1,184 acres","2,044 ft","6,567 ft",4,85.6
27,Ski Bromont,45.299681,-72.636284,125 in,400 acres,"1,152 ft","1,693 ft",7,32.1
28,Mont-Sainte-Anne,47.08617796,-70.92971451,184 in,526 acres,"2,050 ft","2,625 ft",13,43.9
29,Mont Sutton,45.104657,-72.561696,237 in,230 acres,"1,500 ft","3,175 ft",9,50.5
30,Mont Orford,45.318594,-72.220112,140 in,246 acres,"1,933 ft","2,800 ft",9,34.5
31,Massif du Sud,46.621279,-70.49070400000001,236 in,226 acres,"1,312 ft","3,001 ft",2,47.6
32,Le Massif,47.27852969,-70.59382491,236 in,406 acres,"2,527 ft","2,645 ft",5,50.0
33,Stoneham Mountain Resort,47.03,-71.38833333,165 in,326 acres,"1,380 ft","2,075 ft",7,49.2
34,Mont Tremblant,46.219128999999995,-74.55645042,156 in,654 acres,"2,116 ft","2,871 ft",14,50.5
35,Blue Mountain,44.49711755,-80.31160355,110 in,251 acres,742 ft,"1,482 ft",12,49.0
36,Blue Mountain,37.86220832,-109.433291,110 in,251 acres,742 ft,"1,482 ft",12,49.0
37,White Pine Ski Resort,42.97739984,-109.75822450000001,150 in,370 acres,"1,100 ft","9,500 ft",2,43.5
38,Grand Targhee,43.78380932,-110.94663929999999,465 in,"3,000 acres","2,592 ft","10,000 ft",5,85.4
39,Jackson Hole,43.59488484,-110.8440877,368 in,"2,500 acres","4,139 ft","10,450 ft",12,99.0
40,Antelope Butte,44.61145938,-107.51478200000001,200 in,250 acres,"1,000 ft","9,400 ft",3,46.7
41,Snowy Range,41.34126992,-106.1831722,245 in,250 acres,"1,000 ft","10,000 ft",5,55.2
42,Snow King Resort,43.46916667,-110.75083329999998,150 in,400 acres,"1,571 ft","7,808 ft",5,49.9
43,Whitecap Mountains,46.40785988,-90.39559364,150 in,500 acres,400 ft,"1,750 ft",7,31.3
44,Granite Peak,44.92861111,-89.6825,75 in,275 acres,700 ft,"1,924 ft",8,32.0
45,Devil's Head Resort,43.42200627,-89.62732315,70 in,300 acres,500 ft,995 ft,12,26.2
46,Snowshoe Mountain,38.42416009,-79.99455588,156 in,235 acres,"1,500 ft","4,848 ft",15,38.1
47,White Pass Ski Resort,46.62328987,-121.39445970000001,380 in,"1,402 acres","2,050 ft","6,550 ft",8,65.6
48,Bluewood,46.0758505,-117.85171509999998,275 in,430 acres,"1,125 ft","5,670 ft",3,55.8
49,Mission Ridge Ski Area,47.28152431,-120.41225390000001,170 in,"2,000 acres","2,270 ft","6,820 ft",6,48.7
50,Mt. Spokane Ski Area,47.92335962,-117.10292820000001,200 in,"1,425 acres","1,689 ft","5,889 ft",5,47.8
51,Stevens Pass Resort,47.73757265,-121.09043,475 in,"1,125 acres","1,829 ft","5,845 ft",10,79.8
52,Mt. Baker Ski Area,48.85726094,-121.66574080000001,648 in,"1,000 acres","1,500 ft","5,089 ft",10,78.3
