name,lat,lng
Smokey Mountain Ski Club,52.977947,-66.92094
Northern Lights Ski Club,53.52358,-64.020094
White Hills,48.161777,-54.046468
Snow Goose Mountain (Mont Shana),53.409742,-60.425457
Marble Mountain Resort,48.93666667,-57.82722222
Snow Valley Ski Club,53.48420246,-113.5566831
Kinosoo Ridge,54.44009946,-110.0191498
Marmot Basin,52.79858838,-118.1007824
Nakiska Ski Resort,50.94777377,-115.1715256
Sunshine Village,51.08611777,-115.7739046
Rabbit Hill Ski and Snowboard Center,53.38112695,-113.6720181
Sunridge Ski Area,53.56452807,-113.3724689
Silver Summit,53.89321218,-116.5678596
Fortress (Snowridge),50.82453556,-115.1990318
Hidden Valley,49.65657184,-110.260849
Mount Norquay,51.20621872,-115.6053712
Nitehawk Ski Hill,55.06078559,-118.8596892
Castle Mountain Resort,49.31535518,-114.426471
Canyon Ski Resort (Ski Red Deer),52.30470007,-113.6828327
Edmonton Ski Club,53.53361111,-113.4752778
Canada Olympic Park,51.07972222,-114.2158333
Lake Louise Ski Area ,51.44827578,-116.1274305
Wapiti Valley,53.23522199,-104.4609261
Table Mountain,52.8154207,-108.6053467
Mission Ridge Winter Park,50.75448632,-103.7787437
Prairie West Terminal Snow Park (Twin Towers),51.67710594,-108.4945178
Brookvale Provincial Park,46.282508,-63.410265
Whistler Blackcomb (Garibaldi Lift Co.),50.09135499,-122.9285704
Mount Washington Alpine Resort,49.74738588,-125.2994733
Fernie Alpine Resort,49.45735413,-115.1019795
Murray Ridge,54.51878988,-124.2097092
Revelstoke,50.96158528,-118.125609
Salmo Ski Area,49.18630373,-117.3005104
Tabor Mountain,53.943963,-122.4542999
Summit Lake,50.14602382,-117.6151443
Sun Peaks Resort,50.88509127,-119.8859713
Mt. Baldy Family Ski Area,49.15296966,-119.2353058
Hudson Bay Mountain,54.77128618,-127.2618484
Kimberley Alpine Resort,49.68706692,-116.0096169
Kicking Horse Resort,51.28643108,-117.0666386
Red Mountain Resort,49.10144827,-117.8412428
Manning Park Resort,49.06801801,-120.9160423
Mount Seymour,49.37170338,-122.9447314
Silver Star Mountain Resort,50.37452601,-119.0475642
Powder King Mountain Resort,55.36399067,-122.6108551
Panorama Mountain Village,50.44241786,-116.2245998
Fairmont Hot Springs Resort,50.33855845,-115.8262825
Purden Ski Village,53.90039383,-121.8847275
Apex Mountain Resort,49.39103287,-119.904356
Cypress Mountain,49.39641903,-123.2017063
Phoenix Mountain,49.10905118,-118.5862541
Crystal Mountain Resort,49.88202624,-119.7116661
Harper Mountain,50.7230902,-120.1397896
Mt. Cain,50.21898478,-126.3530731
Shames Mountain Ski Area ,54.48499848,-128.9535713
Hemlock Resort,49.37941125,-121.9345093
Big White Ski Resort,49.73235167,-118.9417492
Grouse Mountain,49.38002592,-123.0810356
Whitewater,49.44120964,-117.1548853
Falcon Ridge,49.704275,-95.191471
Asessippi Winter Park,50.951308,-101.338217
Holiday Mountain,49.236784,-98.693941
Stony Mountain Ski Area,50.094095,-97.20651
Mystery Mountain,55.868826,-97.776935
Poley Mountain,45.679269,-65.382583
Crabbe Mountain,46.120263,-67.106976
Mont Farlagne,47.413712,-68.38185
Sugarloaf Provincial Park,47.982235,-66.694703
Ski Martock,44.93252778,-64.16519444
Cape Smokey,46.6268064,-60.42308807
