,name,true_snow,acres,vert,summit,lifts,score
0,Jackson Hole,368 in,"2,500 acres","4,139 ft","10,450 ft",12,99.0
1,Alta Ski Area,521 in,"2,200 acres","2,020 ft","10,550 ft",11,96.9
2,Snowbird,466 in,"2,500 acres","3,240 ft","11,000 ft",11,96.7
3,Vail Ski Resort,357 in,"5,289 acres","3,450 ft","11,570 ft",31,92.3
4,Telluride Ski Resort,279 in,"2,000 acres","3,845 ft","12,570 ft",18,90.2
5,Whistler,417 in,"8,171 acres","5,354 ft","7,494 ft",37,89.1
6,Aspen Snowmass,294 in,"3,132 acres","4,030 ft","12,510 ft",20,87.5
7,Park City Mountain Resort,290 in,"7,300 acres","3,100 ft","10,000 ft",41,87.4
8,Beaver Creek Resort,328 in,"1,815 acres","3,340 ft","11,440 ft",25,87.3
9,Winter Park Ski Resort,348 in,"3,081 acres","3,060 ft","10,700 ft",25,87.3
10,Whitewater,393 in,"1,184 acres","2,044 ft","6,567 ft",4,85.6
11,Solitude Mountain Resort,400 in,"1,200 acres","2,047 ft","10,035 ft",8,85.5
12,Grand Targhee,465 in,"3,000 acres","2,592 ft","10,000 ft",5,85.4
13,Steamboat Ski Resort,371 in,"2,965 acres","3,668 ft","10,568 ft",18,85.3
14,Mammoth,356 in,"3,500 acres","3,100 ft","11,053 ft",28,84.8
15,Big Sky Resort,284 in,"5,809 acres","3,666 ft","11,166 ft",21,84.4
16,Revelstoke,359 in,"3,031 acres","5,620 ft","7,300 ft",4,84.4
17,Squaw Valley,368 in,"3,600 acres","2,850 ft","9,050 ft",30,83.4
18,Alyeska Resort,494 in,"1,500 acres","2,500 ft","2,750 ft",9,83.1
19,Whitefish Mountain Resort,327 in,"3,000 acres","2,353 ft","6,817 ft",14,82.5
20,Aspen Mountain - Ajax,252 in,675 acres,"3,267 ft","11,212 ft",8,81.8
21,Kirkwood,463 in,"2,300 acres","2,000 ft","9,800 ft",14,81.7
22,Aspen Highlands,253 in,"1,028 acres","3,635 ft","11,675 ft",5,81.2
23,Breckenridge Ski Resort,283 in,"2,358 acres","3,240 ft","12,840 ft",31,81.1
24,Loveland Ski Area,347 in,"1,800 acres","1,900 ft","12,700 ft",10,80.9
25,Taos Ski Resort,258 in,"1,294 acres","3,243 ft","12,450 ft",13,80.9
26,Brighton Ski Resort,431 in,"1,050 acres","1,750 ft","10,500 ft",6,80.8
27,Arapahoe Basin Ski Area,316 in,900 acres,"1,692 ft","12,472 ft",7,80.7
28,Deer Valley Resort,275 in,"2,026 acres","3,000 ft","9,570 ft",22,80.4
29,Keystone Resort,235 in,"3,148 acres","2,718 ft","11,998 ft",20,80.0
30,Stevens Pass Resort,475 in,"1,125 acres","1,829 ft","5,845 ft",10,79.8
31,Powder Mountain Ski Resort,350 in,"3,200 acres","2,200 ft","8,900 ft",7,79.3
32,Fernie Alpine Resort,373 in,"2,504 acres","3,550 ft","7,050 ft",10,79.2
33,Copper Mountain,280 in,"2,465 acres","2,601 ft","12,313 ft",22,78.7
34,Mt. Baker Ski Area,648 in,"1,000 acres","1,500 ft","5,089 ft",10,78.3
35,Crystal Mountain Resort,410 in,"2,600 acres","2,472 ft","6,872 ft",11,78.2
36,Wolf Creek Ski Resort,392 in,"1,600 acres","1,604 ft","11,904 ft",7,77.2
37,Alpine Meadows,364 in,"2,400 acres","1,802 ft","8,637 ft",14,77.1
38,Crested Butte Ski Resort,255 in,"1,547 acres","2,500 ft","11,875 ft",16,76.4
39,Snowbasin Ski Resort,313 in,"2,820 acres","2,959 ft","9,250 ft",12,75.8
40,Mt Hood Meadows,453 in,"2,150 acres","2,777 ft","7,300 ft",11,75.6
41,Timberline Lodge,450 in,"1,415 acres","3,690 ft","8,540 ft",12,74.6
42,Bridger Bowl Ski Area,301 in,"2,000 acres","2,700 ft","8,800 ft",7,74.4
43,Powder King Mountain Resort,492 in,925 acres,"2,500 ft","5,500 ft",3,74.1
